"Company","Website","Owner/Founder","LinkedIn","Reason they may buy Zwima AI","Estimated monthly spend","Probability score"
"Aufgesang GmbH","https://www.aufgesang.de","Ulf-Hendrik Schrader / Olaf Kopp","https://www.linkedin.com/search/results/people/?keywords=Ulf-Hendrik%20Schrader%20Aufgesang%20Olaf%20Kopp","Owner-led Hannover online marketing agency with 45-50 employees and explicit GEO/LLMO services for ChatGPT, Perplexity, Gemini and AI Overviews. Zwima AI can give the team controlled multi-model API access for GEO testing, content audits, prompt workflows and client reporting without separate provider accounts.","€800-€1,500","92"
"Bloofusion Germany GmbH","https://www.bloofusion.de","Markus Hövener / Martin Röttgerding / Andreas Schülke","https://www.linkedin.com/search/results/people/?keywords=Markus%20H%C3%B6vener%20Bloofusion%20Andreas%20Sch%C3%BClke","Owner-led online marketing agency that publicly states AI is a fixed part of daily work, including content production, automation and GEO for ChatGPT, Gemini and Perplexity. Zwima AI fits as a shared credits layer for consultants using multiple AI models across client projects.","€700-€1,300","89"
"DREIKON GmbH & Co. KG","https://www.dreikon.de","Timo Wormuth / Matthias Kampmann / Niko Hülsmeier","https://www.linkedin.com/search/results/people/?keywords=Matthias%20Kampmann%20DREIKON","20-person Münster agency with visible AI SEO, ChatGPT visibility, AI Overviews and GEO positioning. Zwima AI can help the SEO/content and development teams standardize AI research, AI-search testing and client deliverables through one German-supported platform.","€500-€1,000","87"
"artundweise GmbH","https://www.artundweise.de","Dirk Beckmann","https://www.linkedin.com/search/results/people/?keywords=Dirk%20Beckmann%20artundweise","Owner-led Bremen digital agency offering GEO/LLMO services and publishing about ChatGPT, Bard and AI content workflows. Zwima AI can support structured AI content checks, prompt libraries and multi-model comparison for marketing-team-as-a-service clients.","€500-€1,000","84"
"Seokratie GmbH","https://www.seokratie.de","Julian Dziki","https://www.linkedin.com/search/results/people/?keywords=Julian%20Dziki%20Seokratie","Munich owner-led online marketing agency with around 40 full-time employees, explicit use of KI for SEO, SEA, content and GEO. Zwima AI can reduce fragmented ChatGPT/Claude usage and provide central credits for AI-assisted content, audits and search visibility testing.","€700-€1,300","86"
"SaphirSolution GmbH","https://www.saphirsolution.de","Sebastian Denzin / Niclas Weskamp","https://www.linkedin.com/search/results/people/?keywords=Sebastian%20Denzin%20Niclas%20Weskamp%20SaphirSolution","Small owner-led online marketing agency with GEO and AI Search Optimization services for ChatGPT, Perplexity and Google SGE. Zwima AI is relevant for AI-search analysis, content generation with human review and repeatable client workflows under one invoice.","€400-€900","81"
"mindshape GmbH","https://www.mindshape.de","Sebastian Erlhofer / Robert Neumcke","https://www.linkedin.com/search/results/people/?keywords=Sebastian%20Erlhofer%20mindshape","Owner-led Cologne digital agency using KI as a co-pilot for tech content and offering GEO services for ChatGPT and AI Overviews. Zwima AI can serve as a controlled workspace for writers, SEO consultants and developers using different models for research and automation.","€500-€1,000","82"
"Zweitag GmbH","https://www.zweitag.de","Christian Peters / Julian Schneider","https://www.linkedin.com/search/results/people/?keywords=Christian%20Peters%20Julian%20Schneider%20Zweitag","Münster software agency with about 50 people and visible generative AI work including ChatGPT, Claude, AI use-case database and AI platform kamium. Zwima AI can provide multi-model access and API credits for prototypes, client AI workshops and internal automation.","€900-€1,800","88"
"cosee GmbH","https://www.cosee.biz","Konstantin Diener / Patrick Wolf","https://www.linkedin.com/search/results/people/?keywords=Konstantin%20Diener%20Patrick%20Wolf%20cosee","Darmstadt agile software product agency with almost 40 people and public product-thinking content around AI adoption. Zwima AI can support developers and product teams with central access to Claude, ChatGPT-style workflows and API experimentation for client prototypes.","€600-€1,200","78"
"Format D GmbH","https://www.format-d.com","Christian Schüller / Roland Stern / Benno Weinzierl","https://www.linkedin.com/search/results/people/?keywords=Christian%20Sch%C3%BCller%20Roland%20Stern%20Benno%20Weinzierl%20Format%20D","Owner-managed Munich digital agency offering Data & AI services including content automation, large language models and AI agents. Zwima AI can be positioned as a practical credits and model-access layer for small interdisciplinary teams building AI features for clients.","€600-€1,200","80"
