"Company","Country","Industry","Website","Founder","LinkedIn","Public Email","Estimated Employees","AI Adoption Signals","Reason To Buy Zwima AI","Estimated Monthly Spend","Ease Of Contact Score","Buying Probability Score"
"acemate.ai","Germany","AI / EdTech SaaS","https://acemate.ai","Antong Yin / Paul Herman / Jan Tiegges","https://www.linkedin.com/company/acemateai","hello@acemate.ai","1-10","AI learning platform transforms documents into exams, summaries, flashcards, mind maps and personalized tutoring; trusted by universities and IHKs.","Zwima AI can provide multi-model routing, API aggregation and predictable credits for AI content generation, tutoring flows, document processing and educator automation.","€500+","88","96"
"TRAKKER","Germany","Event Analytics / Lead Generation Software","https://www.trakker.tech","Yuting Peng / Alex Nikonov / Ahmed Ali","https://www.linkedin.com/company/trakker-tech","alex@trakker.tech","1-10","AI-powered lead intelligence, visitor behavior analytics, CRM integrations and automated lead capture for physical events.","Zwima AI can support AI lead scoring, follow-up copy, CRM enrichment, multilingual exhibitor reports and model experimentation under one credits system.","€200","86","92"
"Zeevan GmbH","Austria","China E-commerce / Digital Marketing Agency","https://zeevan.com","Chien-Hao Hsu","https://www.linkedin.com/in/chienhaohsu","office@zeevan.com","5-10","Alibaba Global Service Partner, Bytedance partner, China e-commerce, WeChat Pay, Alibaba Cloud and digital marketing operations.","Zwima AI can help create bilingual campaign content, China-market research, translation, customer reports and AI-assisted consulting for Alibaba/Tmall/WeChat projects.","€200","90","91"
"STAiiRS","France","China-Europe Digital Marketing Agency","https://staiirs.com","Guanghui Li","https://www.linkedin.com/in/guanghuili","admin@staiirs.com","1-10","Google Premier Partner, Microsoft Ads, Baidu Ads, TikTok/Douyin, WeChat and China digital marketing services.","Zwima AI can centralize multilingual content generation, ad copy, Baidu/Google research, campaign reporting and Chinese-European client communication.","€200","86","90"
"Ostloong Innovations AG","Switzerland","AR / AI Hardware Startup","https://ostloong.com","Amber Gao","https://www.linkedin.com/search/results/companies/?keywords=Ostloong%20Innovations","https://ostloong.com/about/contact/","10-50","AR+AI near-eye systems, smart ski goggles, AI and augmented reality engineering team, Chinese-origin founder with China-Europe supply-chain background.","Zwima AI can support model testing for AI assistants, multilingual product documentation, investor/customer communication, supplier translation and technical knowledge workflows.","€500+","72","88"
"Xperbot","Switzerland","Robotics / Software Implementation","https://xperbot.ch","Hui Huang / Xiaomeng Wang / Guido Putignano","https://www.linkedin.com/search/results/companies/?keywords=Xperbot","info@xperbot.ch","5-20","Robotics implementation, localization, workforce training and technical integration; Chinese co-founders and public team emails.","Zwima AI can help with technical documentation, training content, translation, implementation support, support knowledge base and AI-assisted robotics consulting.","€200","88","87"
"JMA Brands","Netherlands","Cross-border E-commerce / Marketplace Brands","https://jmabrands.eu","Johnny Ma","https://www.linkedin.com/in/jma00","https://jmabrands.eu","5-20","Marketplace-first brand building, China sourcing, Bol.com/Amazon expertise, advanced marketing strategy and content creator with large reach.","Zwima AI can help generate marketplace listings, ad copy, product research, supplier communication, translation and customer support content across multiple brands.","€200","76","86"
"ECENTIME","France","Franco-Chinese E-commerce / Shopping Community","https://ectime.co","Yangke Sun / Yijun Chen","https://www.linkedin.com/company/ecentime/","contact@ecentime.com","11-50","Predictive software algorithms, data-driven shopping recommendations, Chinese consumer intent and cross-cultural e-commerce platform.","Zwima AI can support product recommendation copy, Chinese/French content generation, influencer briefs, customer support, brand onboarding and multi-model experiments.","€200","82","85"
"Capybara Technologies GmbH / Word to World","Germany","EdTech / Creative AI App","https://wordtoworld.io","Xinyue Yang / Hanwen Cheng","https://www.linkedin.com/search/results/companies/?keywords=Word%20to%20World","https://wordtoworld.io","1-10","Speech-to-3D-animation education app, Google Experiment with AI origins, Berlin and Chengdu remote product/content team.","Zwima AI can support story generation, translation, education content creation, prompt testing and multilingual parent/teacher communication.","€100","68","83"
"China Connect","Belgium","China-Europe Business Services","https://chinaconnect.be","Jun Jiang","https://www.linkedin.com/search/results/companies/?keywords=China%20Connect%20Belgium","https://chinaconnect.be/contact/","5-20","China-Europe consulting, export/supply-chain expertise, Chinese market knowledge, e-commerce and logistics partner network.","Zwima AI can help generate bilingual business reports, market research, client proposals, supplier/customer communication and knowledge-base content.","€100","72","81"
