"Group","Company Name","Website","Country","Industry","Employee Range","Founder / Managing Director","Public Email","Contact Page","LinkedIn","AI Adoption Signals","Reason To Buy Zwima AI","Estimated Monthly Spend","Ease Of Contact Score","Buying Probability Score","Priority"
"Group C","Aufgesang GmbH","https://www.aufgesang.de","Germany","SEO / Marketing Agency","45-50","Ulf-Hendrik Schrader / Olaf Kopp","info@aufgesang.de","https://www.aufgesang.de/kontakt/","https://www.linkedin.com/company/aufgesang","Explicit GEO/LLMO, ChatGPT, Perplexity and AI Overviews services","Multi-model access for GEO testing, content audits, client reporting and prompt workflows","€200","92","94","Hot"
"Group D","Zweitag GmbH","https://www.zweitag.de","Germany","Software Agency / AI Implementation","~50","Christian Peters / Julian Schneider","kontakt@zweitag.de","https://www.zweitag.de/kontakt","https://www.linkedin.com/company/zweitag","Uses ChatGPT, Claude and own AI platform kamium","API aggregation and multi-model credits for client AI prototypes and internal workflows","€500+","88","93","Hot"
"Group C","Bloofusion Germany GmbH","https://www.bloofusion.de","Germany","Online Marketing Agency","25-50","Markus Hövener / Martin Röttgerding / Andreas Schülke","","https://www.bloofusion.de/kontakt","https://www.linkedin.com/company/bloofusion","Publicly states AI is part of daily marketing work and GEO","Central AI credits for content, automation, SEO/GEO and client deliverables","€200","89","92","Hot"
"Group A","Kock GmbH Zerspanungstechnik","https://www.kockgmbh.de","Germany","Cutting Tool Trading / Technical Service","~45","Hannes Kock","cude@kockgmbh.de","https://www.kockgmbh.de/kontakt","https://www.linkedin.com/company/kock-gmbh-zerspanungstechnik","Webshop, E-Procurement, tool-management systems and 150k+ articles","AI can speed technical answers, quote drafts, translation and product descriptions","€200","88","91","Hot"
"Group C","DREIKON GmbH & Co. KG","https://www.dreikon.de","Germany","SEO / Advertising Agency","~20","Timo Wormuth / Matthias Kampmann / Niko Hülsmeier","","https://www.dreikon.de/kontakt/","https://www.linkedin.com/company/dreikon","AI SEO, ChatGPT visibility and GEO services","Shared AI workspace for SEO research, AI-search testing and client content","€100","89","90","Hot"
"Group C","Seokratie GmbH","https://www.seokratie.de","Germany","SEO / Content Agency","~40","Julian Dziki","","https://www.seokratie.de/kontakt/","https://www.linkedin.com/company/seokratie-gmbh","Explicit AI usage for SEO, SEA, content and GEO","Reduce fragmented ChatGPT/Claude usage for content and search workflows","€200","86","90","Hot"
"Group D","9elements GmbH","https://9elements.com","Germany","Software Agency","~82","Sebastian Deutsch / Mehmet Eray Basar","info@9elements.com","https://9elements.com/contact/","https://www.linkedin.com/company/9elements","Offers machine learning / AI and publishes AI engineering content","Multi-model API layer for client AI features, coding and model experiments","€500+","78","89","Hot"
"Group D","Format D GmbH","https://www.format-d.com","Germany","Digital Product / Software Agency","25-50","Christian Schüller / Roland Stern / Benno Weinzierl","info@format-d.com","https://www.format-d.com/contact.html","https://www.linkedin.com/company/format-d","Offers Data & AI, LLMs, AI agents and content automation","Credits and model-access layer for client AI features and internal content automation","€200","82","88","Hot"
"Group B","SNOCKS GmbH","https://snocks.com","Germany","DTC / Online Retailer","50-100","Johannes Kliesch / Felix Bauer","","https://snocks.com/pages/contact","https://www.linkedin.com/company/snocks","International DTC brand with content, ads and customer support workload","AI can produce multilingual product copy, ad variants, support answers and SEO content","€200","82","88","Hot"
"Group D","cosee GmbH","https://www.cosee.biz","Germany","Software Product Agency","~40","Konstantin Diener / Patrick Wolf","","https://www.cosee.biz/kontakt","https://www.linkedin.com/company/cosee-gmbh","Publishes AI product-development content and builds digital products","Multi-model access for prototypes, documentation, research and client workshops","€200","80","87","Hot"
