"Rank","Company","Website","Company Active","Website Active","Decision Maker","Decision Maker Verified","Public Email Or Contact Page","LinkedIn","AI Adoption Evidence","Digital Transformation Evidence","Estimated Monthly AI Spend","Best Outreach Angle","Best Contact Channel","Ease Of Reaching Decision Maker","Probability To Buy Zwima AI","Expected Revenue Score","Verification Sources","Verification Notes"
"1","Zweitag GmbH","https://www.zweitag.de","Yes","Yes","Christian Peters / Julian Schneider","Yes","kontakt@zweitag.de","https://www.linkedin.com/company/zweitag-gmbh","Zweitag promotes generative AI use cases, ChatGPT/Claude prompts and its DSGVO-compliant kamium AI platform with OpenAI, Claude and Google models.","Public site says the team drives digital transformation and kamium is used by 50+ companies.","€500+","Pitch Zwima as a lower-friction multi-model API and credits layer for kamium-related experiments, client AI prototypes and internal developer workflows.","Email to kontakt@zweitag.de plus LinkedIn to Christian Peters","88","95","100","https://www.zweitag.de/; https://www.kamium.de/; https://www.zweitag.de/kontakt; https://www.linkedin.com/company/zweitag-gmbh","Strongest combination of verified AI usage, active product, public leadership and high revenue potential."
"2","Aufgesang GmbH","https://www.aufgesang.de","Yes","Yes","Olaf Kopp / Ulf-Hendrik Schrader","Yes","kontakt@aufgesang.de","https://www.linkedin.com/company/aufgesang","Aufgesang publishes GEO/LLMO services for ChatGPT, Perplexity, Gemini and Google AI Overviews; Olaf Kopp is Head of SEO & AI Search.","Agency page describes owner-led online marketing agency and AI-search/digital-authority work.","€200","Position Zwima as a shared multi-model workspace for GEO testing, AI Overviews audits, prompt workflows and client reporting.","Email to kontakt@aufgesang.de plus LinkedIn to Olaf Kopp","92","94","80","https://www.aufgesang.de/ueber-uns/; https://www.aufgesang.de/seo/digital-authority-management/; https://www.linkedin.com/in/olafkopp","Verified public contact changed from previous info@ to kontakt@."
"3","9elements GmbH","https://9elements.com","Yes","Yes","Sebastian Deutsch / Mehmet Eray Basar","Yes","contact@9elements.com","https://www.linkedin.com/company/9elements","9elements has an AI Transformation offer and states its experts help companies integrate AI; Sebastian Deutsch is publicly positioned as an AI expert.","Active software agency with machine learning/AI, web development and digital product services.","€500+","Pitch multi-model API access for AI transformation sprints, machine-learning features, coding assistance and client AI builds.","Email to contact@9elements.com plus LinkedIn to Sebastian Deutsch","84","91","100","https://9elements.com/; https://9elements.com/ai/; https://9elements.com/imprint/; https://9elements.com/de/info/sebastian-deutsch-als-ki-experte-bei-zdfheute-live/","Direct public email verified as contact@9elements.com, not info@."
"4","Kock GmbH Zerspanungstechnik","https://www.kockgmbh.de","Yes","Yes","Hannes Kock","Yes","info@kockgmbh.de / cude@kockgmbh.de","https://www.linkedin.com/company/kock-gmbh-zerspanungstechnik","Company site has 2026 news item 'KI erhält Einzug in unsere Prozesse' about CRM and sales-intelligence project.","Webshop, online catalogs, E-Procurement, ERP article numbers, permissions and 150,000+ articles show strong digital procurement readiness.","€200","Focus on technical quotation support, supplier translation, CRM/sales-intelligence workflows and product-description generation.","Public sales email cude@kockgmbh.de or general info@kockgmbh.de","90","90","80","https://www.kockgmbh.de/; https://www.kockgmbh.de/zerspanungswerkzeuge/metallbranche; https://www.kockgmbh.de/impressum/; https://www.linkedin.com/company/kock-gmbh-zerspanungstechnik","Very strong verified industrial SME lead with explicit current AI signal."
"5","Bloofusion Germany GmbH","https://www.bloofusion.de","Yes","Yes","Markus Hövener / Martin Röttgerding / Andreas Schülke","Yes","info@bloofusion.de","https://www.linkedin.com/company/bloofusion-germany-gmbh","Bloofusion LinkedIn and founder content reference AI results, AI search, ChatGPT and GEO; Markus Hövener is SEO/GEO advocate.","Agency specializes in SEO/SEA/digital analytics and supports visibility in AI search environments.","€200","Lead with controlled AI usage for SEO/GEO consultants using multiple models across content, automation and client deliverables.","Email to info@bloofusion.de plus LinkedIn to Markus Hövener","88","90","80","https://www.bloofusion.de/ueber-uns/team/markus-hoevener; https://www.bloofusion.de/impressum; https://www.linkedin.com/company/bloofusion-germany-gmbh","Verified as active; direct public email found."
"6","DREIKON GmbH & Co. KG","https://www.dreikon.de","Yes","Yes","Matthias Kampmann / Timo Wormuth","Yes","team@dreikon.de","https://www.linkedin.com/company/dreikon-seo-werbeagentur-in-muenster","DREIKON offers GEO/LLMO/GAIO and publishes about ChatGPT, Gemini, Perplexity and AI Search.","Digital agency profile shows SEO, SEA, web development, e-commerce, AI-based search optimization and data-driven marketing.","€100","Offer one AI platform for ChatGPT visibility work, GEO testing, content drafts and client SEO reporting.","Email to team@dreikon.de plus LinkedIn to Matthias Kampmann","89","89","60","https://www.dreikon.de/en/grounding-page/; https://www.dreikon.de/en/services/seo-agency/geo/; https://www.linkedin.com/in/matthiaskampmann","Verified active, public email and current managing partner evidence."
"7","Seokratie GmbH","https://www.seokratie.de","Yes","Yes","Julian Dziki","Yes","https://www.seokratie.de/kontakt/","https://www.linkedin.com/company/seokratie-gmbh","Seokratie has GEO services for ChatGPT, Claude, Perplexity and AI search; Julian Dziki posts about KI tools in every department.","Site and LinkedIn show active SEO/content/SEA agency with digital search transformation positioning.","€200","Position Zwima as a central credit-based AI layer for SEO, SEA, content and GEO workflows instead of fragmented AI accounts.","Contact form plus LinkedIn to Julian Dziki","84","88","80","https://www.seokratie.de/geo/; https://www.seokratie.de/impressum/; https://www.linkedin.com/in/julian-dziki; https://www.linkedin.com/company/seokratie-gmbh","No direct public email verified in source snippets; use contact page."
"8","Claneo GmbH","https://www.claneo.com","Yes","Yes","Magdalena Mues / Martin Grahl / Matthäus Michalik","Yes","info@claneo.com","https://www.linkedin.com/company/claneo","Claneo explicitly offers GEO and LLMO consulting for AI search visibility.","Agency site describes international SEO, GEO and content marketing specialization, with active Berlin office and public founders.","€200","Pitch AI credits for GEO/LLMO research, ChatGPT visibility testing, client reports and scalable content production.","Email to info@claneo.com plus LinkedIn to Magdalena Mues or Martin Grahl","78","87","80","https://www.claneo.com/de/geo-llmo-agentur/; https://www.claneo.com/de/ueber-uns/; https://www.linkedin.com/company/claneo","Verified but decision-maker access is less direct than smaller founder-led agencies."
"9","SNOCKS GmbH","https://snocks.com","Yes","Yes","Johannes Kliesch / Felix Bauer","Yes","https://snocks.com/pages/contact","https://www.linkedin.com/company/snocks","Public interview says Johannes Kliesch wants AI to become a core focus; LinkedIn job/activity includes AI content roles.","Fast-growing DTC e-commerce house of brands with Amazon, social commerce, acquisitions and content-heavy operations.","€500+","Frame Zwima as an AI content and support engine for product copy, ad variants, social content and customer replies across brands.","Contact page plus LinkedIn to Johannes Kliesch","76","86","100","https://www.linkedin.com/company/snocks; https://www.linkedin.com/in/johannes-kliesch; https://econo-magazin.de/das-erfolgsgeheimnis-von-snocks-aus-mannheim/","Strong revenue potential; slightly lower fit because public headcount appears above original 100-employee ideal."
"10","Format D GmbH","https://www.format-d.com","Yes","Yes","Christian Schüller / Roland Stern / Benno Weinzierl","Yes","info@format-d.com","https://www.linkedin.com/company/formatd","Format D lists Data & AI, content automation, large language models and AI agents as services.","Active digital agency with strategy, UX/UI, web development, e-commerce and process digitalization services.","€200","Lead with credits-based access to models for LLM, AI agent, content automation and client prototype work.","Email to info@format-d.com plus LinkedIn to Christian Schüller","80","86","80","https://www.format-d.com/; https://www.format-d.com/en/impressum.html; https://www.format-d.com/en/contact.html","Verified active and public directors; AI service evidence is explicit."
