"Rank","Company","Decision Maker","German Cold Email Subject","German Cold Email","LinkedIn Message","First Call Script"
"1","Zweitag GmbH","Christian Peters / Julian Schneider","Kurzer Austausch zu Multi-Model-Zugriff und Credits fuer kamium-Workflows","Hallo Herr Peters, hallo Herr Schneider, ich habe gesehen, dass Zweitag mit kamium bereits sehr konkret an generativer KI fuer den Mittelstand arbeitet und dabei Modelle wie OpenAI, Claude und Google in DSGVO-konformen Workflows nutzbar macht. Genau dort koennte Zwima AI als ergaenzende Multi-Model- und Credits-Schicht interessant sein: zentraler API-Zugriff, planbare Credits, europaeische Rechnung und deutscher Support fuer Experimente, Prototypen und interne Entwickler-Workflows. Wuerde ein kurzer 20-Minuten-Austausch Sinn ergeben, um zu pruefen, ob Zwima AI fuer kamium-nahe Tests oder Kundenprojekte Kosten und Modellzugriff vereinfachen kann? Viele Gruesse","Hallo Herr Peters, ich habe gesehen, dass Zweitag mit kamium bereits sehr praktisch an generativer KI fuer den Mittelstand arbeitet. Zwima AI koennte als schlanke Multi-Model- und Credits-Schicht fuer Tests mit OpenAI, Claude, Gemini und weiteren Modellen spannend sein. Waere ein kurzer Austausch sinnvoll?","Guten Tag, mein Name ist [Name] von Zwima AI. Ich rufe an, weil Zweitag mit kamium und generativer KI schon sehr weit ist. Meine Frage waere: Gibt es bei Ihnen aktuell Bedarf, mehrere KI-Modelle, API-Zugaenge und interne Kostenkontrolle einfacher zu buendeln? Zwima AI bietet Multi-Model-Zugriff mit Credits, europaeischer Rechnung und deutschem Support. Wenn das relevant klingt, wuerde ich gern 20 Minuten mit Herrn Peters oder Herrn Schneider abstimmen."
"2","Aufgesang GmbH","Olaf Kopp / Ulf-Hendrik Schrader","Zwima AI fuer GEO-, LLMO- und AI-Search-Workflows","Hallo Herr Kopp, ich verfolge Ihre Arbeit rund um GEO, LLMO, AI Overviews, ChatGPT und Perplexity. Aufgesang gehoert in diesem Feld sichtbar zu den fruehen und ernsthaften Agenturen. Genau deshalb koennte Zwima AI fuer Ihr Team interessant sein: eine zentrale Multi-Model-Plattform fuer GEO-Tests, Prompt-Vergleiche, Content-Audits, KI-Sichtbarkeitsanalysen und Kundenreportings, abgerechnet ueber Credits statt ueber viele einzelne Provider-Accounts. Wuerde ein kurzer Austausch passen, um zu pruefen, ob Zwima AI Ihre AI-Search-Workflows operativ vereinfachen kann? Viele Gruesse","Hallo Herr Kopp, Ihre GEO- und AI-Search-Arbeit bei Aufgesang passt sehr gut zu Zwima AI: Multi-Model-Zugriff, Credits-Billing und deutsche Betreuung fuer ChatGPT-, Gemini-, Claude- und Perplexity-nahe Workflows. Interesse an einem kurzen Austausch?","Guten Tag, hier ist [Name] von Zwima AI. Ich melde mich, weil Aufgesang sehr sichtbar zu GEO und AI Search arbeitet. Wir helfen Teams, mehrere KI-Modelle zentral zu nutzen und Kosten ueber Credits steuerbar zu machen. Mich wuerde interessieren, ob Ihr Team aktuell mehrere Tools oder Provider fuer GEO-Tests und Kundenreportings nutzt. Falls ja, wuerde ich gern einen kurzen Termin mit Herrn Kopp oder Herrn Schrader vorschlagen."
"3","9elements GmbH","Sebastian Deutsch / Mehmet Eray Basar","Multi-Model-API fuer AI-Transformation-Sprints","Hallo Herr Deutsch, hallo Herr Basar, ich habe gesehen, dass 9elements AI Transformation, Machine Learning und digitale Produktentwicklung sehr aktiv anbietet. Fuer solche Sprints entsteht oft ein praktisches Problem: Teams testen mehrere Modelle, brauchen API-Zugriff, wollen Kosten pro Projekt kontrollieren und moechten nicht fuer jeden Provider separate Accounts verwalten. Zwima AI buendelt genau das: Multi-Model-Zugriff, Credits-Billing, API-Aggregation, europaeische Rechnung und deutscher Support. Waere ein kurzer Austausch sinnvoll, um zu pruefen, ob Zwima AI Ihre AI-Sprints und Kundenprototypen beschleunigen kann? Viele Gruesse","Hallo Herr Deutsch, 9elements arbeitet sichtbar an AI Transformation und Machine-Learning-Projekten. Zwima AI koennte als zentrale Multi-Model-API mit Credits fuer Prototypen, Coding und Kundenprojekte interessant sein. Koennen wir uns dazu kurz austauschen?","Guten Tag, mein Name ist [Name] von Zwima AI. Ich rufe an wegen Ihrer AI-Transformation-Angebote bei 9elements. Wir bieten eine zentrale Plattform fuer mehrere KI-Modelle mit API-Zugriff und Credits-Abrechnung. Die Idee waere, Prototyping, Modelltests und Projektkosten einfacher zu steuern. Waere das grundsaetzlich ein Thema fuer Herrn Deutsch oder Herrn Basar?"
"4","Kock GmbH Zerspanungstechnik","Hannes Kock","KI-Unterstuetzung fuer Vertrieb, Angebote und Produktdaten","Hallo Herr Kock, ich habe gesehen, dass Kock Zerspanungstechnik bereits an CRM- und Sales-Intelligence-Loesungen arbeitet und mit Webshop, Online-Katalogen, E-Procurement und ueber 150.000 Artikeln sehr digital aufgestellt ist. Zwima AI koennte Ihr Vertriebsteam praktisch unterstuetzen: technische Kundenanfragen zusammenfassen, Angebotsentwuerfe erstellen, Lieferanteninformationen uebersetzen, Produktbeschreibungen erzeugen und Wissen aus Katalogen schneller nutzbar machen. Das laeuft ueber eine einfache Credits-Abrechnung mit deutscher Betreuung. Waere ein kurzer Test fuer Ihren Vertrieb interessant? Viele Gruesse","Hallo Herr Kock, ich habe den Hinweis gesehen, dass KI bei Kock in Prozesse einzieht. Zwima AI koennte bei Angebotsentwuerfen, technischen Antworten, Uebersetzungen und Produkttexten fuer Ihren Webshop helfen. Waere ein kurzer Austausch sinnvoll?","Guten Tag, hier ist [Name] von Zwima AI. Ich rufe an, weil Kock bereits digital mit Webshop, E-Procurement und Sales-Intelligence arbeitet. Unsere Frage: Waere ein KI-Assistent fuer technische Anfragen, Angebote, Produkttexte und Lieferantenuebersetzungen fuer Ihr Team relevant? Zwima AI ist dafuer als Multi-Model-Plattform mit Credits gedacht. Ich wuerde gern 15 bis 20 Minuten mit Herrn Kock abstimmen."
"5","Bloofusion Germany GmbH","Markus Hoevener / Martin Roettgerding / Andreas Schuelke","KI-Modelle zentral fuer SEO-, GEO- und Content-Teams nutzen","Hallo Herr Hoevener, Bloofusion arbeitet sichtbar an SEO, GEO, AI Search und Sichtbarkeit in ChatGPT und AI Overviews. Bei solchen Workflows testen Teams oft mehrere Modelle, Prompts und Content-Varianten parallel. Zwima AI kann hier als zentrale Multi-Model-Plattform helfen: OpenAI, Claude, Gemini und weitere Modelle unter einem Credits-System, mit europaeischer Rechnung und deutschem Support. Das koennte GEO-Analysen, Content-Briefings, Reporting und interne Automatisierung vereinfachen. Waere ein kurzer Austausch fuer Ihr Team interessant? Viele Gruesse","Hallo Herr Hoevener, Ihre Arbeit rund um SEO, GEO und AI Search passt sehr gut zu Zwima AI. Wir buendeln mehrere KI-Modelle ueber Credits fuer Content, Analysen und Reporting. Waere ein kurzer Austausch fuer Bloofusion sinnvoll?","Guten Tag, mein Name ist [Name] von Zwima AI. Ich melde mich, weil Bloofusion aktiv zu GEO und AI Search arbeitet. Viele Agenturen nutzen inzwischen mehrere KI-Tools parallel, verlieren aber schnell Ueberblick bei Kosten und Accounts. Zwima AI buendelt Modelle und Abrechnung. Koennte das fuer Ihr SEO- oder Content-Team ein Thema sein?"
"6","DREIKON GmbH & Co. KG","Matthias Kampmann / Timo Wormuth","Ein KI-Arbeitsplatz fuer GEO, ChatGPT-Sichtbarkeit und Kundenreporting","Hallo Herr Kampmann, DREIKON positioniert sich klar zu GEO, LLMO, GAIO und Sichtbarkeit in ChatGPT, Gemini und Perplexity. Genau fuer solche Agenturprozesse ist Zwima AI relevant: zentrale Nutzung mehrerer KI-Modelle, Credits statt einzelner Token-Rechnungen, schnelle Prompt- und Content-Tests, sowie strukturierte Unterstuetzung fuer Reports, Briefings und Kundenkommunikation. Wuerde ein kurzer Austausch Sinn machen, um zu pruefen, ob Zwima AI Ihre GEO- und Online-Marketing-Workflows operativ erleichtert? Viele Gruesse","Hallo Herr Kampmann, ich habe gesehen, dass DREIKON GEO und AI Search aktiv anbietet. Zwima AI koennte als Multi-Model-Plattform fuer ChatGPT-, Gemini- und Perplexity-nahe Tests, Content und Reporting helfen. Kurzer Austausch?","Guten Tag, hier ist [Name] von Zwima AI. Ich rufe an, weil DREIKON sichtbar mit GEO und KI-Sichtbarkeit arbeitet. Unsere Plattform hilft Agenturen, mehrere Modelle zentral zu nutzen und Kosten ueber Credits zu steuern. Ich wollte fragen, ob Sie aktuell schon verschiedene KI-Tools fuer Content, Analyse und Reporting nutzen und ob ein gemeinsamer Zugang interessant waere."
"7","Seokratie GmbH","Julian Dziki","Credits-basierter KI-Zugang fuer SEO-, SEA- und GEO-Teams","Hallo Herr Dziki, Seokratie beschreibt GEO sehr praxisnah und Sie schreiben offen darueber, dass KI-Tools in allen Abteilungen angekommen sind. Genau dort setzt Zwima AI an: ein zentraler Zugang zu mehreren KI-Modellen fuer SEO, Content, GEO-Recherche, AI-Overviews-Tests und Reporting, abgerechnet ueber Credits statt ueber verstreute Einzelaccounts. Das kann besonders fuer Agenturteams interessant sein, die viele Kundenprojekte parallel bearbeiten. Haetten Sie Interesse an einem kurzen 20-Minuten-Austausch? Viele Gruesse","Hallo Herr Dziki, Ihre GEO-Positionierung bei Seokratie passt stark zu Zwima AI. Wir bieten Multi-Model-Zugriff mit Credits fuer SEO, Content, GEO-Recherche und Reporting. Waere ein kurzer Austausch spannend?","Guten Tag, mein Name ist [Name] von Zwima AI. Ich melde mich, weil Seokratie KI und GEO sehr aktiv in den Agenturalltag integriert. Wir helfen Teams, verschiedene Modelle zentral zu nutzen und Kosten pro Projekt besser zu steuern. Waere das fuer Ihre SEO-, SEA- oder Content-Teams ein Thema, das wir kurz besprechen sollten?"
"8","Claneo GmbH","Magdalena Mues / Martin Grahl / Matthaeus Michalik","Multi-Model-Zugriff fuer GEO- und LLMO-Beratung","Hallo Frau Mues, hallo Herr Grahl, Claneo ist mit GEO und LLMO klar im AI-Search-Markt positioniert. Fuer solche Beratungsprojekte braucht ein Team oft schnellen Zugriff auf mehrere Modelle, Vergleichstests, strukturierte Prompts und nachvollziehbare Kosten je Kunde oder Projekt. Zwima AI buendelt OpenAI, Claude, Gemini und weitere Modelle in einer Credits-Plattform mit europaeischer Rechnung und deutschem Support. Wuerde ein kurzer Austausch Sinn machen, um zu sehen, ob Zwima AI Ihre GEO- und Content-Prozesse vereinfachen kann? Viele Gruesse","Hallo Frau Mues, Claneo arbeitet sichtbar an GEO und LLMO. Zwima AI koennte Ihrem Team zentralen Multi-Model-Zugriff fuer AI-Search-Tests, Content-Briefings und Reporting geben. Interesse an einem kurzen Austausch?","Guten Tag, hier ist [Name] von Zwima AI. Ich rufe an, weil Claneo sich stark im Bereich GEO und LLMO positioniert. Unsere Plattform ist fuer Teams gedacht, die mehrere KI-Modelle fuer Kundenprojekte nutzen und die Abrechnung vereinfachen wollen. Gibt es bei Ihnen jemanden, der fuer AI-Search-Tools oder interne KI-Workflows verantwortlich ist?"
"9","SNOCKS GmbH","Johannes Kliesch / Felix Bauer","KI fuer Produktcontent, Ads und Support ueber mehrere Brands","Hallo Herr Kliesch, ich habe gelesen, dass AI bei SNOCKS ein wichtiges Zukunftsthema werden soll und dass Ihr Team mit E-Commerce, Social Content, Amazon, House-of-Brands und Support sehr contentlastig arbeitet. Zwima AI koennte hier als zentrale Plattform helfen: Produkttexte, Ad-Varianten, Social Captions, Support-Antworten, Uebersetzungen und interne Tests mit mehreren KI-Modellen, alles ueber Credits steuerbar. Waere ein kurzer Austausch sinnvoll, um zu pruefen, ob Zwima AI fuer SNOCKS oder einzelne Brand-Teams einen schnellen Nutzen liefern kann? Viele Gruesse","Hallo Herr Kliesch, ich habe gesehen, dass AI fuer SNOCKS ein strategisches Thema wird. Zwima AI koennte Produkttexte, Ads, Social Content und Support ueber mehrere Modelle und Brands zentral unterstuetzen. Kurz austauschen?","Guten Tag, mein Name ist [Name] von Zwima AI. Ich rufe an, weil SNOCKS als DTC- und House-of-Brands-Unternehmen viele Content- und Support-Prozesse hat. Wir bieten eine Plattform, mit der Teams mehrere KI-Modelle fuer Produktcontent, Ads und Kundenservice zentral nutzen koennen. Waere das fuer Herrn Kliesch oder Ihr E-Commerce-Team interessant?"
"10","Format D GmbH","Christian Schueller / Roland Stern / Benno Weinzierl","Credits-Plattform fuer LLMs, AI Agents und Content Automation","Hallo Herr Schueller, Format D bietet Data & AI, Content Automation, Large Language Models und AI Agents bereits sichtbar an. Genau fuer solche Projekte kann Zwima AI als einfache Multi-Model-Schicht nuetzlich sein: ein Zugang zu verschiedenen Modellen, API-Nutzung, Credits-Billing, europaeische Rechnung und deutscher Support. Das kann bei Kundenprototypen, Content-Automation, internen Tests und AI-Agent-Konzepten helfen. Wuerde ein kurzer Austausch fuer Ihr Data-&-AI-Team Sinn ergeben? Viele Gruesse","Hallo Herr Schueller, Format D bietet Data & AI, LLMs und AI Agents an. Zwima AI koennte als Credits-basierte Multi-Model-Schicht fuer Prototypen und Content Automation passen. Kurzer Austausch?","Guten Tag, hier ist [Name] von Zwima AI. Ich melde mich wegen Ihrer Data-&-AI-Angebote bei Format D. Wir vereinfachen den Zugriff auf mehrere KI-Modelle und die Abrechnung ueber Credits. Ich wollte fragen, ob Sie fuer LLM-, AI-Agent- oder Content-Automation-Projekte aktuell unterschiedliche Provider nutzen und ob ein zentraler Zugang interessant waere."
